subj,item,condition,order,region,position,RT
3,8,b,SVO,3,adv2,527
3,8,b,SVO,4,v,560
3,8,b,SVO,5,d1,626
3,8,b,SVO,6,np,687
3,8,b,SVO,7,-,516
3,8,b,SVO,8,-,603
3,8,b,SVO,9,-,731
3,8,b,SVO,?,1,1473
3,14,b,SVO,0,adv1,432
3,14,b,SVO,1,d2,516
3,14,b,SVO,2,na,539
3,14,b,SVO,3,adv2,563
3,14,b,SVO,4,v,582
3,14,b,SVO,5,d1,493
3,14,b,SVO,6,np,566
3,14,b,SVO,7,-,540
3,14,b,SVO,8,-,672
3,14,b,SVO,9,-,602
3,14,b,SVO,?,1,1200
3,5,a,TSV,0,d1,683
3,5,a,TSV,1,np,822
3,5,a,TSV,2,adv1,657
3,5,a,TSV,3,d2,604
3,5,a,TSV,4,na,721
3,5,a,TSV,5,adv2,489
3,5,a,TSV,6,v,630
3,5,a,TSV,7,-,647
3,5,a,TSV,8,-,659
3,5,a,TSV,9,-,613
3,5,a,TSV,?,1,1126
3,6,b,SVO,0,adv1,491
3,6,b,SVO,1,d2,546
3,6,b,SVO,2,na,530
3,6,b,SVO,3,adv2,504
3,6,b,SVO,4,v,467
3,6,b,SVO,5,d1,548
3,6,b,SVO,6,np,565
3,6,b,SVO,7,-,590
3,6,b,SVO,8,-,564
3,6,b,SVO,?,1,1233
3,16,b,SVO,0,adv1,485
3,16,b,SVO,1,d2,535
3,16,b,SVO,2,na,470
3,16,b,SVO,3,adv2,510
3,16,b,SVO,4,v,598
3,16,b,SVO,5,d1,556
3,16,b,SVO,6,np,542
3,16,b,SVO,7,-,573
3,16,b,SVO,8,-,628
3,16,b,SVO,?,1,1045
3,4,b,SVO,0,adv1,415
3,4,b,SVO,1,d2,485
3,4,b,SVO,2,na,495
3,4,b,SVO,3,adv2,584
3,4,b,SVO,4,v,569
3,4,b,SVO,5,d1,602
3,4,b,SVO,6,np,607
3,4,b,SVO,7,-,559
3,4,b,SVO,8,-,683
3,4,b,SVO,?,1,1112
4,13,a,TSV,0,d1,513
4,13,a,TSV,1,np,618
4,13,a,TSV,2,adv1,501
4,13,a,TSV,3,d2,440
4,13,a,TSV,4,na,666
4,13,a,TSV,5,adv2,453
4,13,a,TSV,6,v,478
4,13,a,TSV,7,-,421
4,13,a,TSV,8,-,850
4,13,a,TSV,?,1,3794
4,11,a,TSV,0,d1,457
4,11,a,TSV,1,np,493
4,11,a,TSV,2,adv1,453
4,11,a,TSV,3,d2,449
4,11,a,TSV,4,na,469
4,11,a,TSV,5,adv2,430
4,11,a,TSV,6,v,396
4,11,a,TSV,7,-,419
4,11,a,TSV,8,-,605
4,11,a,TSV,?,1,3318
4,15,a,TSV,0,d1,453
4,15,a,TSV,1,np,482
4,15,a,TSV,2,adv1,468
4,15,a,TSV,3,d2,665
4,15,a,TSV,4,na,704
4,15,a,TSV,5,adv2,417
4,15,a,TSV,6,v,451
4,15,a,TSV,7,-,413
4,15,a,TSV,8,-,370
4,15,a,TSV,9,-,497
4,15,a,TSV,?,1,2383
4,16,b,SVO,0,adv1,453
4,16,b,SVO,1,d2,412
4,16,b,SVO,2,na,388
4,16,b,SVO,3,adv2,406
4,16,b,SVO,4,v,917
4,16,b,SVO,5,d1,573
4,16,b,SVO,6,np,478
4,16,b,SVO,7,-,434
4,16,b,SVO,8,-,560
4,16,b,SVO,?,1,1966
4,8,b,SVO,0,adv1,615
4,8,b,SVO,1,d2,725
4,8,b,SVO,2,na,540
4,8,b,SVO,3,adv2,433
4,8,b,SVO,4,v,592
4,8,b,SVO,5,d1,647
4,8,b,SVO,6,np,453
4,8,b,SVO,7,-,573
4,8,b,SVO,8,-,385
4,8,b,SVO,9,-,483
4,8,b,SVO,?,1,1718
4,6,b,SVO,0,adv1,514
4,6,b,SVO,1,d2,655
4,6,b,SVO,2,na,589
4,6,b,SVO,3,adv2,424
4,6,b,SVO,4,v,471
4,6,b,SVO,5,d1,419
4,6,b,SVO,6,np,451
4,6,b,SVO,7,-,411
4,6,b,SVO,8,-,453
4,6,b,SVO,?,1,1897
4,10,b,SVO,0,adv1,562
4,10,b,SVO,1,d2,1014
4,10,b,SVO,2,na,554
4,10,b,SVO,3,adv2,522
4,10,b,SVO,4,v,386
4,10,b,SVO,5,d1,427
4,10,b,SVO,6,np,368
4,10,b,SVO,7,-,331
4,10,b,SVO,8,-,503
4,10,b,SVO,?,1,2342
4,9,a,TSV,0,d1,442
4,9,a,TSV,1,np,695
4,9,a,TSV,2,adv1,377
4,9,a,TSV,3,d2,499
4,9,a,TSV,4,na,548
4,9,a,TSV,5,adv2,495
4,9,a,TSV,6,v,427
4,9,a,TSV,7,-,415
4,9,a,TSV,8,-,455
4,9,a,TSV,?,1,2675
4,7,a,TSV,0,d1,377
4,7,a,TSV,1,np,450
4,7,a,TSV,2,adv1,540
4,7,a,TSV,3,d2,505
4,7,a,TSV,4,na,640
4,7,a,TSV,5,adv2,467
4,7,a,TSV,6,v,405
4,7,a,TSV,7,-,560
4,7,a,TSV,?,1,1996
4,12,b,SVO,0,adv1,409
4,12,b,SVO,1,d2,590
4,12,b,SVO,2,na,613
4,12,b,SVO,3,adv2,429
4,12,b,SVO,4,v,356
4,12,b,SVO,5,d1,404
4,12,b,SVO,6,np,358
4,12,b,SVO,7,-,394
4,12,b,SVO,8,-,463
4,12,b,SVO,?,1,1716
4,5,a,TSV,0,d1,493
4,5,a,TSV,1,np,468
4,5,a,TSV,2,adv1,452
4,5,a,TSV,3,d2,409
4,5,a,TSV,4,na,459
4,5,a,TSV,5,adv2,356
4,5,a,TSV,6,v,417
4,5,a,TSV,7,-,336
4,5,a,TSV,8,-,354
4,5,a,TSV,9,-,404
4,5,a,TSV,?,1,1316
4,1,a,TSV,0,d1,349
4,1,a,TSV,1,np,386
4,1,a,TSV,2,adv1,389
4,1,a,TSV,3,d2,326
4,1,a,TSV,4,na,462
4,1,a,TSV,5,adv2,357
4,1,a,TSV,6,v,350
4,1,a,TSV,7,-,330
4,1,a,TSV,8,-,464
4,1,a,TSV,?,1,1581
4,14,b,SVO,0,adv1,402
4,14,b,SVO,1,d2,466
4,14,b,SVO,2,na,480
4,14,b,SVO,3,adv2,514
4,14,b,SVO,4,v,358
4,14,b,SVO,5,d1,383
4,14,b,SVO,6,np,434
4,14,b,SVO,7,-,427
4,14,b,SVO,8,-,366
4,14,b,SVO,9,-,383
4,14,b,SVO,?,1,1740
4,3,a,TSV,0,d1,400
4,3,a,TSV,1,np,533
4,3,a,TSV,2,adv1,586
4,3,a,TSV,3,d2,408
4,3,a,TSV,4,na,438
4,3,a,TSV,5,adv2,360
4,3,a,TSV,6,v,341
4,3,a,TSV,7,-,364
4,3,a,TSV,8,-,318
4,3,a,TSV,9,-,529
4,3,a,TSV,?,1,1638
4,2,b,SVO,0,adv1,710
4,2,b,SVO,1,d2,410
4,2,b,SVO,2,na,716
4,2,b,SVO,3,adv2,653
4,2,b,SVO,4,v,605
4,2,b,SVO,5,d1,347
4,2,b,SVO,6,np,415
4,2,b,SVO,7,-,383
4,2,b,SVO,8,-,326
4,2,b,SVO,?,1,1470
4,4,b,SVO,0,adv1,461
4,4,b,SVO,1,d2,573
4,4,b,SVO,2,na,619
4,4,b,SVO,3,adv2,409
4,4,b,SVO,4,v,438
4,4,b,SVO,5,d1,493
4,4,b,SVO,6,np,619
