subj,item,condition,order,complexity,constituent,position,Q,RT
4,10,a,TSV,RC,DE,16,-,1102
4,10,a,TSV,RC,HN,17,-,339
4,10,a,TSV,RC,ADV,18,-,419
4,10,a,TSV,RC,quantifier,19,-,1236
4,10,a,TSV,RC,Main-V1,20,-,599
4,10,a,TSV,RC,Main-V2,21,-,1167
4,10,a,TSV,RC,,?,1,1592
4,14,a,TSV,RC,comma,11,-,443
4,14,a,TSV,RC,DCL,12,-,479
4,14,a,TSV,RC,DP,13,-,449
4,14,a,TSV,RC,RC-V1,14,-,951
4,14,a,TSV,RC,RC-V2,15,-,1654
4,14,a,TSV,RC,DE,16,-,339
4,14,a,TSV,RC,HN,17,-,1017
4,14,a,TSV,RC,ADV,18,-,2023
4,14,a,TSV,RC,quantifier,19,-,285
4,14,a,TSV,RC,Main-V1,20,-,295
4,14,a,TSV,RC,Main-V2,21,-,564
4,14,a,TSV,RC,,?,1,1811
4,18,a,TSV,RC,comma,11,-,334
4,18,a,TSV,RC,DCL,12,-,379
4,18,a,TSV,RC,DP,13,-,448
4,18,a,TSV,RC,RC-V1,14,-,364
4,18,a,TSV,RC,RC-V2,15,-,1006
4,18,a,TSV,RC,DE,16,-,365
4,18,a,TSV,RC,HN,17,-,479
4,18,a,TSV,RC,ADV,18,-,554
4,18,a,TSV,RC,quantifier,19,-,424
4,18,a,TSV,RC,Main-V1,20,-,316
4,18,a,TSV,RC,Main-V2,21,-,484
4,18,a,TSV,RC,,?,1,1815
4,22,a,TSV,RC,comma,11,-,410
4,22,a,TSV,RC,DCL,12,-,428
4,22,a,TSV,RC,DP,13,-,319
4,22,a,TSV,RC,RC-V1,14,-,244
4,22,a,TSV,RC,RC-V2,15,-,315
4,22,a,TSV,RC,DE,16,-,304
4,22,a,TSV,RC,HN,17,-,1102
4,22,a,TSV,RC,ADV,18,-,360
4,22,a,TSV,RC,quantifier,19,-,259
4,22,a,TSV,RC,Main-V1,20,-,360
4,22,a,TSV,RC,Main-V2,21,-,524
4,22,a,TSV,RC,,?,1,2856
5,1,a,TSV,RC,comma,11,-,414
5,1,a,TSV,RC,DCL,12,-,389
5,1,a,TSV,RC,DP,13,-,324
5,1,a,TSV,RC,RC-V1,14,-,364
5,1,a,TSV,RC,RC-V2,15,-,330
5,1,a,TSV,RC,DE,16,-,319
5,1,a,TSV,RC,HN,17,-,340
5,1,a,TSV,RC,ADV,18,-,419
5,1,a,TSV,RC,quantifier,19,-,336
5,1,a,TSV,RC,Main-V1,20,-,429
